Timestamp	I_0	Q_0
15.869718	1458	-2229
15.940531	1458	-2229
15.940531	1459	-2229
15.958514	1459	-2229
16.000371	1458	-2229
16.031288	1458	-2229
16.085146	1459	-2229
16.128028	1458	-2229
16.159943	1458	-2229
16.207817	1459	-2229
16.252696	1458	-2229
16.32251	1458	-2229
16.32251	1458	-2229
16.389331	1459	-2229
16.415261	1458	-2229
16.447179	1458	-2229
16.496047	1458	-2229
16.527961	1459	-2229
16.575835	1458	-2229
16.607752	1458	-2229
16.655621	1459	-2229
16.709477	1458	-2229
16.740395	1458	-2229
16.875034	1458	-2229
16.875034	1459	-2229
16.875034	1459	-2229
16.89598	1458	-2229
16.94385	1459	-2229
16.993718	1458	-2229
17.023638	1458	-2229
17.07151	1458	-2229
17.103427	1459	-2229
17.202191	1458	-2229
17.202191	1458	-2229
17.25901	1458	-2229
17.279954	1459	-2229
17.311867	1458	-2229
17.359742	1458	-2229
17.391658	1458	-2229
17.439528	1459	-2229
17.471443	1458	-2229
17.536268	1458	-2229
17.651962	1458	-2229
17.659938	1458	-2229
17.659938	1458	-2229
17.687864	1458	-2229
17.727757	1458	-2229
17.759672	1459	-2229
17.807545	1458	-2228
17.855417	1458	-2229
17.888329	1458	-2229
17.935204	1458	-2229
17.967118	1458	-2229
18.015988	1459	-2229
18.048902	1458	-2229
18.188527	1458	-2229
18.188527	1458	-2229
18.189526	1459	-2229
18.223434	1458	-2229
18.256347	1459	-2229
18.308208	1458	-2229
18.335136	1458	-2229
18.384006	1458	-2229
18.41592	1458	-2229
18.532608	1458	-2229
18.549561	1458	-2229
18.549561	1458	-2229
18.591452	1458	-2229
18.623366	1458	-2229
18.671238	1458	-2229
18.703153	1458	-2229
18.751026	1458	-2229
18.799895	1459	-2229
18.831809	1458	-2229
18.879681	1459	-2229
18.911597	1458	-2229
19.065186	1458	-2229
19.065186	1458	-2229
19.065186	1458	-2229
19.087127	1458	-2229
19.120039	1459	-2229
19.173896	1458	-2229
19.199826	1458	-2229
19.247699	1458	-2229
19.279613	1458	-2229
19.38932	1458	-2229
19.424253	1459	-2229
19.444195	1458	-2229
19.455144	1459	-2229
19.487059	1458	-2229
19.535928	1459	-2229
19.567843	1459	-2229
19.616715	1458	-2229
19.663586	1458	-2229
19.695503	1458	-2229
19.743375	1458	-2229
19.822163	1458	-2229
19.884	1459	-2229
19.884	1459	-2229
19.903947	1458	-2229
19.951818	1459	-2229
19.986725	1458	-2229
20.031605	1458	-2229
20.06352	1458	-2229
20.111392	1458	-2229
20.186192	1458	-2229
20.253012	1458	-2229
20.254011	1458	-2229
20.271963	1458	-2229
20.320832	1458	-2230
20.360725	1458	-2229
20.399623	1458	-2229
20.431539	1458	-2229
20.483399	1458	-2229
20.629009	1458	-2229
20.629009	1459	-2229
20.629009	1458	-2229
20.639981	1458	-2229
20.687853	1458	-2229
20.719769	1458	-2230
20.767639	1458	-2230
20.815512	1458	-2230
20.847426	1458	-2229
20.895298	1458	-2229
20.927214	1458	-2229
21.017974	1458	-2229
21.018973	1458	-2229
21.068837	1458	-2229
21.153608	1458	-2229
21.154607	1458	-2229
21.183529	1458	-2229
21.215446	1458	-2229
21.263314	1459	-2230
21.295229	1459	-2229
21.343102	1458	-2229
